ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
2LA2,heliport,Igh Heliport,15,NA,US,US-LA,New Iberia,2LA2,,2LA2,"-91.78569793701172, 29.99020004272461"
2LA3,seaplane_base,Exxon Intracoastal City Terminal Seaplane Base,8,NA,US,US-LA,Intracoastal City,2LA3,,2LA3,"-92.13289642333984, 29.824899673461914"
2LA4,small_airport,Bunkie Flying Service Airport,65,NA,US,US-LA,Bunkie,2LA4,,2LA4,"-92.1792984008789, 30.929100036621094"
2LA5,small_airport,Reed Flying Service Inc Airport,35,NA,US,US-LA,Iota,2LA5,,2LA5,"-92.43209838867188, 30.343299865722656"
2LA6,small_airport,Howell 1 Airport,180,NA,US,US-LA,Jackson,2LA6,,2LA6,"-91.16680145263672, 30.833499908447266"
2LA7,small_airport,Costello Airport,75,NA,US,US-LA,Oak Grove,2LA7,,2LA7,"-91.42620086669922, 32.967098236083984"
2LA8,closed,Transco Heliport,12,NA,US,US-LA,Kaplan,,,,"-92.281503, 29.983"
2LA9,heliport,Cow Island Trunkline Heliport,8,NA,US,US-LA,Kaplan,2LA9,,2LA9,"-92.27239990234375, 29.885499954223633"
2LL0,heliport,Taylorville Memorial Hospital Heliport,620,NA,US,US-IL,Taylorville,2LL0,,2LL0,"-89.294166, 39.554444"
2LL1,small_airport,Cwian Field,550,NA,US,US-IL,Sheridan,2LL1,,2LL1,"-88.68900299072266, 41.54169845581055"
2LL2,small_airport,Weihler Airport,740,NA,US,US-IL,Sherrard,2LL2,,2LL2,"-90.5521011352539, 41.31480026245117"
2LL3,small_airport,Roy Burden Restricted Landing Area,730,NA,US,US-IL,Shirley,2LL3,,2LL3,"-89.06919860839844, 40.38890075683594"
2LL4,small_airport,Snow Airport,728,NA,US,US-IL,Macon,2LL4,,2LL4,"-88.97949981689453, 39.74980163574219"
2LL5,small_airport,Justus Airport,685,NA,US,US-IL,Sidney,2LL5,,2LL5,"-88.05999755859375, 39.998600006103516"
2LL6,heliport,Genesis Medical Center - Illini Campus Heliport,700,NA,US,US-IL,Silvis,2LL6,,2LL6,"-90.4181976318, 41.4944992065"
2LL7,small_airport,Adams Restricted Landing Area Number 2,630,NA,US,US-IL,Pontiac,2LL7,,2LL7,"-88.7376022339, 40.934700012200004"
2LL8,heliport,Washington County Hospital Heliport,700,NA,US,US-IL,Nashville,2LL8,,2LL8,"-89.3921966553, 38.338901519800004"
2LL9,small_airport,George Airport,740,NA,US,US-IL,Somonauk,2LL9,,2LL9,"-88.69309997558594, 41.704200744628906"
2LS0,heliport,Air Logistics Galliano Heliport,-2,NA,US,US-LA,Galliano,2LS0,,2LS0,"-90.29440307617188, 29.412200927734375"
